date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:21	42121/42121	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Apr%202023%2015:35:58%20GMT	https://www.elegantthemes.com/layouts/art-design/cake-maker-landing-page/live-demo	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/art-design/cake-maker-landing-page/live-demo.html	(from )
14:45:21	41874/41874	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Apr%202023%2002:37:57%20GMT	https://www.elegantthemes.com/layouts/food-drink/cake-maker-services-page/live-demo	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/food-drink/cake-maker-services-page/live-demo.html	(from )
14:45:22	40636/40636	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Apr%202023%2002:38:50%20GMT	https://www.elegantthemes.com/layouts/food-drink/cake-maker-home-page/live-demo	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/food-drink/cake-maker-home-page/live-demo.html	(from )
14:45:22	31580/31580	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Apr%202023%2001:41:06%20GMT	https://www.elegantthemes.com/layouts/food-drink/cake-maker-contact-page/live-demo	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/food-drink/cake-maker-contact-page/live-demo.html	(from )
14:45:22	40507/40507	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20May%202023%2017:53:00%20GMT	https://www.elegantthemes.com/layouts/food-drink/cake-maker-blog-page/live-demo	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/food-drink/cake-maker-blog-page/live-demo.html	(from )
14:45:23	32377/32377	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Apr%202023%2002:38:14%20GMT	https://www.elegantthemes.com/layouts/food-drink/cake-maker-about-page/live-demo	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/food-drink/cake-maker-about-page/live-demo.html	(from )
14:45:23	117/117	---MCZ	200	added ('OK')	text/plain	date:Tue,%2011%20Sep%202018%2000:38:39%20GMT	https://www.elegantthemes.com/robots.txt		(from )
14:45:23	10419/10419	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2021:00:18%20GMT	https://www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.8.5	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style519f.css	(from https://www.elegantthemes.com/layouts/art-design/cake-maker-landing-page/live-demo)
14:45:23	260492/260492	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2021:00:18%20GMT	https://www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.8.5	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style519f.css	(from https://www.elegantthemes.com/layouts/art-design/cake-maker-landing-page/live-demo)
14:45:23	17572/17572	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2021:00:12%20GMT	https://www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=7.6.1	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/assets/css/woocommerce-layout56be.css	(from https://www.elegantthemes.com/layouts/art-design/cake-maker-landing-page/live-demo)
14:45:23	7043/7043	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Apr%202023%2021:00:12%20GMT	https://www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=7.6.1	C:/Users/ME/Desktop/cake%20maker/www.elegantthemes.com/layouts/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen56be.css	(from https://www.elegantthemes.com/layouts/art-design/cake-maker-landing-page/live-demo)
